Name,Team,G,Rec,Tgt,RecYds,RecY/G,RecAvg,RecLng,YAC,1stD,RecTD,Rush,RushYds,RushY/G,Avg,RushTD,Fum,FumL
Matt Spaeth,PIT,13,2,3,10,0.8,5,6,4.5,1,0,0,0,0,,0,0,0
Scott Simonson,CAR,9,1,1,10,1.1,10,10,9,1,0,0,0,0,,0,0,0
Khari Lee,CHI,16,1,3,7,0.4,7,7,4,0,0,0,0,0,,0,0,0
E.J. Bibbs,CLE,7,1,2,7,1,7,7,1,0,0,0,0,0,,0,0,0
Brian Parker,KAN,9,1,2,6,0.7,6,6,8,0,0,0,0,0,,0,0,0
Nic Jacobs,JAC,11,1,3,6,0.5,6,6,5,0,0,0,0,0,,0,0,0
David Johnson,SDG,16,1,2,4,0.3,4,4,5,0,0,2,4,0.3,2,0,1,1
Brian Leonhardt,SFO,4,1,1,4,1,4,4,0,0,0,0,0,0,,0,0,0
C.J. Uzomah,CIN,5,1,1,4,0.8,4,4,2,1,0,0,0,0,,0,0,0
MarQueis Gray,BUF,4,1,1,2,0.5,2,2,5,0,0,0,0,0,,0,0,0
Matthew Mulligan,BUF,12,1,1,2,0.2,2,2,2,0,0,0,0,0,,0,0,0
Asante Cleveland,NWE,4,1,1,1,0.3,1,1,1,0,0,0,0,0,,0,0,0
Alex Smith,WAS,3,0,2,0,0,,0,,0,0,0,0,0,,0,0,0
Tyler Ott,NYG,1,0,0,0,0,,0,,0,0,0,0,0,,0,1,0
Geoff Swaim,DAL,4,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
