Name,Position,RawPts,AdjPts,FPOR
LeSean McCoy,RB,278.6,199.3125,85.96875000000001
Jamaal Charles,RB,308.0,194.0,80.65625000000001
Josh Gordon,WR,218.6,176.35714285714286,71.57142857142857
Matt Forte,RB,261.3,177.46875,64.12500000000001
Calvin Johnson,WR,219.2,157.71428571428572,52.92857142857143
DeMarco Murray,RB,205.1,155.46428571428572,42.12053571428574
Reggie Bush,RB,185.2,153.42857142857142,40.08482142857143
Jimmy Graham,TE,217.5,113.90625,35.90625
Antonio Brown,WR,197.9,140.53125,35.74553571428571
Knowshon Moreno,RB,236.60000000000002,148.6875,35.343750000000014
Adrian Peterson,RB,203.7,147.53571428571428,34.19196428571429
Marshawn Lynch,RB,239.3,145.59375,32.250000000000014
Le'Veon Bell,RB,171.9,142.96153846153845,29.617788461538467
Demaryius Thomas,WR,227.0,134.0625,29.276785714285708
A.J. Green,WR,208.6,133.6875,28.901785714285708
Eddie Lacy,RB,207.5,141.5,28.156250000000014
Andre Johnson,WR,170.7,131.90625,27.120535714285708
Alshon Jeffery,WR,182.1,131.34375,26.558035714285708
Peyton Manning,QB,519.98,172.48125000000002,22.181250000000034
Stephen Gostkowski,K,176.0,176.0,22.0
Drew Brees,QB,435.68,172.2,21.900000000000006
Ryan Mathews,RB,184.4,133.5,20.156250000000014
DeSean Jackson,WR,187.2,124.87499999999999,20.089285714285694
Pierre Garcon,WR,162.6,124.3125,19.526785714285708
Jordy Nelson,WR,179.4,123.1875,18.401785714285708
Robert Griffin III,QB,241.02,167.33076923076925,17.030769230769266
Brandon Marshall,WR,201.5,121.40625,16.620535714285708
Chris Johnson,RB,198.2,129.5625,16.218750000000014
Matt Prater,K,169.0,169.0,15.0
Eric Decker,WR,192.8,118.87500000000001,14.089285714285722
Jordan Cameron,TE,133.7,91.7,13.700000000000003
Vincent Jackson,WR,164.4,114.75,9.964285714285708
Dez Bryant,WR,199.3,113.71875,8.933035714285708
Andrew Luck,QB,330.58,158.04375,7.743750000000006
Julius Thomas,TE,150.8,84.42857142857143,6.428571428571431
Fred Jackson,RB,187.7,119.71875,6.375000000000014
Alfred Morris,RB,169.3,119.34375,6.000000000000014
Anquan Boldin,WR,159.9,110.53125,5.745535714285708
Alex Smith,QB,299.62,155.62,5.320000000000022
Cam Newton,QB,345.65999999999997,155.30625,5.006250000000023
Vernon Davis,TE,161.0,83.0,5.0
Justin Tucker,K,159.0,159.0,5.0
Steven Hauschka,K,158.0,158.0,4.0
Zac Stacy,RB,157.4,117.2142857142857,3.870535714285708
Adam Vinatieri,K,157.0,157.0,3.0
Tony Gonzalez,TE,133.9,80.53125,2.53125
Jason Witten,TE,133.1,79.78125,1.78125
Torrey Smith,WR,136.8,105.75,0.9642857142857082
DeAngelo Williams,RB,137.6,113.6,0.2562500000000085
Philip Rivers,QB,352.32,150.29999999999998,0.0
Frank Gore,RB,174.9,113.34374999999999,0.0
Victor Cruz,WR,121.8,104.78571428571429,0.0
Antonio Gates,TE,107.2,78.0,0.0
Nick Novak,K,154.0,154.0,0.0
Phil Dawson,K,154.0,154.0,0.0
Dan Bailey,K,154.0,154.0,0.0
Russell Wilson,QB,322.17999999999995,150.16875000000002,-0.1312499999999659
Nick Foles,QB,309.74,149.70000000000002,-0.5999999999999659
Mason Crosby,K,153.0,153.0,-1.0
Greg Olsen,TE,117.6,76.5,-1.5
Giovani Bernard,RB,166.9,111.46875,-1.8749999999999858
Keenan Allen,WR,150.6,102.6,-2.1857142857142975
T.Y. Hilton,WR,138.3,101.53125,-3.254464285714292
C.J. Spiller,RB,121.8,109.8,-3.5437499999999886
Kendall Wright,WR,119.9,101.15625,-3.629464285714292
Maurice Jones-Drew,RB,139.7,109.69999999999999,-3.643749999999997
Colin Kaepernick,QB,306.28,146.5125,-3.7874999999999943
Julian Edelman,WR,141.6,99.0,-5.785714285714292
Harry Douglas,WR,116.7,98.15625,-6.629464285714292
Joique Bell,RB,161.7,106.59375,-6.749999999999986
Charles Clay,TE,111.9,71.15625,-6.84375
Michael Floyd,WR,134.1,97.59375,-7.191964285714292
Dan Carpenter,K,146.0,146.0,-8.0
Martellus Bennett,TE,103.9,69.28125,-8.71875
Terrelle Pryor,QB,157.52,141.16363636363639,-9.136363636363598
Brian Hartline,WR,125.6,95.25,-9.535714285714292
Marques Colston,WR,124.3,94.3,-10.485714285714295
Rashad Jennings,RB,138.5,102.5,-10.843749999999986
Andre Ellington,RB,126.30000000000001,102.30000000000001,-11.043749999999974
Tom Brady,QB,297.52000000000004,138.3,-11.999999999999972
Matthew Stafford,QB,332.9,137.71875,-12.581249999999983
Nick Folk,K,141.0,141.0,-13.0
Pierre Thomas,RB,136.2,99.56249999999999,-13.78125
Wes Welker,WR,137.8,89.76923076923077,-15.016483516483518
Cecil Shorts III,WR,95.7,89.65384615384616,-15.131868131868131
Hakeem Nicks,WR,89.6,89.6,-15.185714285714297
Matt Ryan,QB,300.1,135.09375,-15.206249999999983
Andy Dalton,QB,354.02000000000004,135.01875,-15.281249999999972
Tony Romo,QB,320.92,134.92000000000002,-15.379999999999967
Jay Feely,K,138.0,138.0,-16.0
Heath Miller,TE,63.3,61.392857142857146,-16.607142857142854
Jared Cook,TE,95.1,61.03124999999999,-16.968750000000007
Larry Fitzgerald,WR,153.4,87.5625,-17.223214285714292
Garrett Graham,TE,82.5,60.57692307692308,-17.42307692307692
Mike Wallace,WR,123.0,87.1875,-17.598214285714292
Scott Chandler,TE,75.5,59.53125,-18.46875
Nate Washington,WR,109.9,86.15625,-18.629464285714292
Ben Roethlisberger,QB,314.34,131.56875,-18.73124999999999
Rob Gronkowski,TE,83.2,59.2,-18.799999999999997
Shaun Suisham,K,135.0,135.0,-19.0
Ray Rice,RB,118.1,94.1,-19.24374999999999
James Jones,WR,97.7,85.39285714285714,-19.392857142857153
Ben Tate,RB,111.1,93.32142857142857,-20.022321428571416
Danny Woodhead,RB,147.4,93.1875,-20.156249999999986
Golden Tate,WR,119.8,84.1875,-20.598214285714292
Delanie Walker,TE,93.1,57.1,-20.9
Coby Fleener,TE,84.8,57.0,-21.0
Steven Jackson,RB,115.4,91.75,-21.593749999999986
Ryan Tannehill,QB,286.32,127.80000000000003,-22.499999999999957
Bilal Powell,RB,102.9,90.84375,-22.499999999999986
Robbie Gould,K,131.0,131.0,-23.0
Rod Streater,WR,110.8,81.375,-23.410714285714292
Ryan Fitzpatrick,QB,194.66,126.35454545454544,-23.945454545454538
Greg Jennings,WR,104.4,80.4,-24.385714285714286
Tim Wright,TE,87.1,53.53125,-24.46875
Denarius Moore,WR,99.5,80.1923076923077,-24.5934065934066
Greg Zuerlein,K,129.0,129.0,-25.0
Roddy White,WR,87.1,79.73076923076923,-25.054945054945065
Rob Housler,TE,51.4,52.38461538461539,-25.615384615384613
Danny Amendola,WR,75.3,79.125,-25.660714285714292
Graham Gano,K,128.0,128.0,-26.0
Riley Cooper,WR,131.5,78.28125,-26.504464285714292
Trent Richardson,RB,109.9,85.9,-27.44374999999998
Jordan Reed,TE,67.9,49.9,-28.1
Blair Walsh,K,125.0,125.0,-29.0
Chris Ivory,RB,102.3,84.3,-29.04374999999999
Brandon Myers,TE,76.2,48.9375,-29.0625
Kellen Winslow,TE,50.8,48.5,-29.5
Rob Bironas,K,124.0,124.0,-30.0
Steve Smith,WR,98.5,74.5,-30.285714285714292
DeAndre Hopkins,WR,90.2,73.3125,-31.473214285714292
Marcedes Lewis,TE,57.9,46.22727272727273,-31.772727272727273
Doug Baldwin,WR,107.8,72.9375,-31.848214285714292
Jay Cutler,QB,200.64000000000001,118.14545454545454,-32.15454545454544
Stevan Ridley,RB,117.5,80.89285714285714,-32.45089285714285
Stevie Johnson,WR,75.7,72.125,-32.66071428571429
Lamar Miller,RB,97.9,80.53125,-32.812499999999986
Brent Celek,TE,84.2,45.1875,-32.8125
Darren Sproles,RB,104.4,80.4,-32.94374999999998
Tyler Eifert,TE,56.5,44.5,-33.5
Ryan Succop,K,120.0,120.0,-34.0
Zach Ertz,TE,70.9,43.96875,-34.03125
Matt Bryant,K,119.0,119.0,-35.0
Dallas Clark,TE,52.3,42.875,-35.125
Jermaine Gresham,TE,63.8,42.642857142857146,-35.357142857142854
Emmanuel Sanders,WR,110.0,69.375,-35.41071428571429
Brandon Pettigrew,TE,51.6,42.42857142857143,-35.57142857142857
Joe Flacco,QB,241.57999999999998,113.98124999999999,-36.318749999999994
Zach Miller,TE,68.7,41.464285714285715,-36.535714285714285
Carson Palmer,QB,265.26000000000005,113.68125,-36.61874999999998
