Name,Team,G,Rec ,Tgt ,RecYds,RecY/G,RecAvg,RecLng,YAC ,1stD ,RecTD,KR ,KRYds,KRAvg,KRLong,KRTD,PR ,PRYds,PRAvg,PRLong,PRTD,Fum ,FumL 
 T.J. Graham,NYJ,12,3,8,87,7.3,29,67,7.3,2,1,6,113,18.8,23,0,0,0, ,0,0,0,0
 Rod Streater,OAK,3,9,13,84,28,9.3,17,3.2,5,1,0,0,0,0,0,0,0,0,0,0,0,0
 Brian Tyms,NWE,11,5,11,82,7.5,16.4,43,0.8,3,1,0,0,0,0,0,0,0,0,0,0,0,0
 Chris Owusu,NYJ,5,6,6,78,9.8,13,36,0.5,4,1,3,147,49,87,0,0,0, ,0,0,0,0
 Keshawn Martin,HOU,16,6,12,78,4.9,13,32,9.5,3,0,1,19,19,19,0,25,154,6.2,21,0,0,0
 Josh Morgan,CHI,14,10,19,70,5,7,13,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
 Greg Little,CIN,6,6,12,69,11.5,11.5,21,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
 Ryan Grant,WAS,16,7,15,68,4.3,9.7,21,3.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
 Santonio Holmes,CHI,9,8,14,67,7.4,8.4,15,3.8,6,0,0,0, ,0,0,9,50,5.6,22,0,0,0
 David Nelson,NYJ,6,8,16,65,10.8,8.1,17,0.4,4,0,0,0,0,0,0,0,0,0,0,0,2,0
 Russell Shepard,TAM,16,4,8,63,3.9,15.8,23,6.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0
 Bruce Ellington,SFO,13,6,12,62,4.8,10.3,20,6.5,5,2,24,614,25.6,38,0,23,188,8.2,23,0,0,0
 Robert Herron,TAM,8,6,12,58,7.3,9.7,16,4.7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
 Bryan Walters,SEA,13,6,11,57,4.4,9.5,17,6.5,3,0,2,43,21.5,27,0,27,207,7.7,21,0,0,0
 Ace Sanders,JAC,12,6,7,55,4.6,9.2,24,4.2,1,0,1,16,16,16,0,32,227,7.1,23,0,0,0
 Kris Durham,TEN,4,6,11,54,13.5,9,14,2.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 Corey Washington,NYG,14,5,8,52,3.7,10.4,20,2.8,4,1,0,0,0,0,0,0,0,0,0,0,0,0
 Kevin Ogletree,NYG,7,5,9,50,7.1,10,15,2.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 Andre Caldwell,DEN,16,5,15,47,2.9,9.4,15,3.6,4,0,12,278,23.2,54,0,0,0, ,0,0,0,0
 Jeff Maehl,PHI,8,5,5,46,5.8,9.2,15,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Seyi Ajirotutu,SDG,16,4,12,45,2.8,11.3,17,2.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
 Frankie Hammond Jr.,KAN,16,4,11,45,2.8,11.3,22,4.3,2,0,2,74,37,37,0,15,200,13.3,47,0,0,0
 Quinton Patton,SFO,4,3,8,44,11,14.7,35,-1.3,1,0,1,24,24,24,0,0,0, ,0,0,1,1
 Marquise Goodwin,BUF,10,1,9,42,4.2,42,42,6,1,0,4,84,21,24,0,0,0, ,0,0,1,0
 Jerrel Jernigan,NYG,2,6,9,40,20,6.7,11,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 Aaron Dobson,NWE,4,3,5,38,9.5,12.7,16,7.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 Darrius Heyward-Bey,PIT,16,3,5,33,2.1,11,17,0.3,1,0,0,0,0,0,0,0,0,0,0,0,1,1
 DeVier Posey,HOU,1,1,1,30,30,30,30,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Ryan Broyles,DET,5,2,5,25,5,12.5,21,4.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
 Jarrett Boykin,GNB,13,3,12,23,1.8,7.7,11,9.3,1,0,1,3,3,3,0,0,0, ,0,0,0,0
 Dri Archer,PIT,12,7,10,23,1.9,3.3,15,3.9,0,0,9,161,17.9,23,0,1,2,2,2,0,0,0
 Cody Latimer,DEN,8,2,4,23,2.9,11.5,14,7.5,1,0,2,22,11,14,0,0,0, ,0,0,0,0
 Griff Whalen,IND,10,2,3,23,2.3,11.5,18,0.5,2,0,15,379,25.3,32,0,26,187,7.2,22,0,0,0
 Devin Street,DAL,16,2,7,18,1.1,9,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
